,Gender,Race,Year,pct,CrimeType,Arrested,Frisked,Searched,HandCuff,PepperSpray,Firearm,Other,CEW,Stopped,Verbal,Summons
27746,Unknown,White,2006,75,Theft,0,0,0,0,0,0,0,0,7,0,0
36095,Female,Black,2006,75,Tresspass,5,20,3,1,0,0,3,0,688,0,25
36096,Male,Black,2006,75,Tresspass,19,274,22,10,0,3,34,0,3135,0,95
36097,Unknown,Black,2006,75,Tresspass,0,1,0,0,0,0,0,0,28,0,0
36098,Female,Hispanic,2006,75,Tresspass,0,2,0,0,0,0,1,0,186,0,11
36099,Male,Hispanic,2006,75,Tresspass,4,43,6,3,0,0,9,0,552,0,16
36100,Unknown,Hispanic,2006,75,Tresspass,0,1,0,0,0,0,0,0,6,0,0
36101,Female,Other,2006,75,Tresspass,0,0,0,0,0,0,0,0,17,0,0
36102,Male,Other,2006,75,Tresspass,0,11,3,1,0,0,2,0,100,0,3
36103,Unknown,Other,2006,75,Tresspass,0,5,0,1,0,0,1,0,98,0,3
36104,Female,White,2006,75,Tresspass,0,2,0,0,0,0,0,0,16,0,1
36105,Male,White,2006,75,Tresspass,0,6,0,0,0,0,1,0,51,0,3
43773,Female,Black,2006,75,Weapon,5,56,6,3,0,1,9,0,152,0,11
43774,Male,Black,2006,75,Weapon,59,3259,218,54,0,38,754,0,4515,0,227
43775,Unknown,Black,2006,75,Weapon,0,19,1,0,0,0,7,0,23,0,0
43776,Female,Hispanic,2006,75,Weapon,0,16,3,1,0,0,2,0,48,0,3
43777,Male,Hispanic,2006,75,Weapon,13,832,54,17,0,11,198,0,1256,0,58
43778,Unknown,Hispanic,2006,75,Weapon,0,11,0,0,0,0,0,0,18,0,0
43779,Female,Other,2006,75,Weapon,0,2,0,0,0,0,1,0,8,0,2
43780,Male,Other,2006,75,Weapon,3,121,9,3,0,3,34,0,186,0,8
43781,Unknown,Other,2006,75,Weapon,1,87,9,2,0,0,16,0,131,0,3
43782,Female,White,2006,75,Weapon,0,4,0,0,0,0,2,0,13,0,0
43783,Male,White,2006,75,Weapon,1,93,10,0,0,1,22,0,143,0,10
4561,Female,Black,2006,76,Assault,0,2,1,2,0,0,2,0,7,0,0
4562,Male,Black,2006,76,Assault,5,31,6,6,0,1,20,0,52,0,4
4563,Female,Hispanic,2006,76,Assault,0,0,0,0,0,0,1,0,3,0,0
4564,Male,Hispanic,2006,76,Assault,0,10,1,1,0,1,6,0,19,0,0
4565,Male,Other,2006,76,Assault,0,2,0,0,0,0,1,0,6,0,0
4566,Unknown,Other,2006,76,Assault,0,0,0,0,0,0,0,0,1,0,0
4567,Male,White,2006,76,Assault,0,5,1,2,0,0,2,0,10,0,1
11912,Female,Black,2006,76,Other,1,1,0,0,0,0,0,0,7,0,0
11913,Male,Black,2006,76,Other,5,16,8,2,0,0,6,0,64,0,1
11914,Unknown,Black,2006,76,Other,0,1,0,0,0,0,0,0,1,0,0
11915,Female,Hispanic,2006,76,Other,0,0,0,0,0,0,0,0,4,0,0
11916,Male,Hispanic,2006,76,Other,3,20,6,3,0,0,10,0,87,0,5
11917,Female,Other,2006,76,Other,0,0,0,0,0,0,0,0,1,0,0
11918,Male,Other,2006,76,Other,1,3,1,1,0,0,4,0,16,0,0
11919,Unknown,Other,2006,76,Other,0,1,0,0,0,0,0,0,3,0,0
11920,Female,White,2006,76,Other,1,0,2,1,0,0,0,0,8,0,1
11921,Male,White,2006,76,Other,0,6,2,2,0,0,5,0,61,0,3
19217,Female,Black,2006,76,Substance,2,6,3,2,0,0,3,0,22,0,2
19218,Male,Black,2006,76,Substance,20,77,18,13,0,1,31,0,200,0,21
19219,Female,Hispanic,2006,76,Substance,4,9,4,4,0,0,5,0,28,0,5
19220,Male,Hispanic,2006,76,Substance,13,63,20,7,0,0,25,0,161,0,12
19221,Unknown,Hispanic,2006,76,Substance,0,1,1,0,0,0,0,0,1,0,0
19222,Female,Other,2006,76,Substance,0,1,0,0,0,0,0,0,2,0,0
19223,Male,Other,2006,76,Substance,1,8,1,2,0,0,4,0,21,0,0
19224,Unknown,Other,2006,76,Substance,0,0,0,0,0,0,0,0,1,0,0
19225,Female,White,2006,76,Substance,3,5,4,4,0,0,2,0,16,0,0
19226,Male,White,2006,76,Substance,11,26,7,4,0,0,15,0,57,0,4
27890,Female,Black,2006,76,Theft,3,4,3,0,0,0,0,0,34,0,1
27891,Male,Black,2006,76,Theft,24,198,36,10,1,3,110,0,592,0,9
27892,Unknown,Black,2006,76,Theft,0,0,0,0,0,0,0,0,1,0,0
27893,Female,Hispanic,2006,76,Theft,1,2,0,2,0,0,2,0,36,0,1
27894,Male,Hispanic,2006,76,Theft,18,147,35,12,0,2,70,0,605,0,9
27895,Unknown,Hispanic,2006,76,Theft,0,0,0,0,0,0,0,0,1,0,0
27896,Female,Other,2006,76,Theft,0,1,1,0,0,0,0,0,12,0,0
27897,Male,Other,2006,76,Theft,0,20,2,0,0,1,13,0,102,0,0
27898,Unknown,Other,2006,76,Theft,0,1,1,0,0,0,0,0,13,0,0
27899,Female,White,2006,76,Theft,0,6,0,0,0,0,1,0,31,0,1
27900,Male,White,2006,76,Theft,0,37,4,1,0,0,33,0,272,0,7
36215,Female,Black,2006,76,Tresspass,6,11,5,6,0,0,5,0,61,0,10
36216,Male,Black,2006,76,Tresspass,45,109,37,27,0,0,58,0,433,0,31
36217,Female,Hispanic,2006,76,Tresspass,9,8,5,1,0,1,5,0,42,0,6
36218,Male,Hispanic,2006,76,Tresspass,21,45,17,9,0,0,28,0,206,0,16
36219,Female,Other,2006,76,Tresspass,0,0,0,0,0,0,0,0,1,0,0
36220,Male,Other,2006,76,Tresspass,0,1,1,0,0,0,1,0,11,0,0
36221,Unknown,Other,2006,76,Tresspass,0,0,0,0,0,0,0,0,4,0,0
36222,Female,White,2006,76,Tresspass,3,2,3,3,0,0,1,0,15,0,4
36223,Male,White,2006,76,Tresspass,8,6,6,5,0,0,5,0,41,0,3
43918,Female,Black,2006,76,Weapon,0,12,0,2,0,0,4,0,17,0,1
43919,Male,Black,2006,76,Weapon,7,239,26,16,0,13,117,0,292,0,32
43920,Female,Hispanic,2006,76,Weapon,0,11,0,0,0,1,6,0,18,0,2
43921,Male,Hispanic,2006,76,Weapon,12,138,26,10,0,3,53,0,163,0,21
43922,Female,Other,2006,76,Weapon,0,3,0,0,0,0,3,0,3,0,0
43923,Male,Other,2006,76,Weapon,0,11,3,0,0,0,2,0,13,0,0
43924,Unknown,Other,2006,76,Weapon,0,1,0,0,0,0,1,0,6,0,0
43925,Female,White,2006,76,Weapon,0,7,0,0,0,0,0,0,10,0,0
43926,Male,White,2006,76,Weapon,4,40,8,2,0,2,16,0,53,0,3
4655,Female,Black,2006,77,Assault,11,16,10,6,0,0,3,0,22,0,1
4656,Male,Black,2006,77,Assault,10,68,13,15,0,1,39,0,125,0,4
4657,Unknown,Black,2006,77,Assault,0,1,0,0,0,0,1,0,1,0,0
4658,Male,Hispanic,2006,77,Assault,0,2,0,1,0,0,2,0,6,0,0
4659,Male,Other,2006,77,Assault,0,2,0,0,0,0,0,0,2,0,0
4660,Unknown,Other,2006,77,Assault,2,3,0,1,0,0,2,0,3,0,0
4661,Male,White,2006,77,Assault,1,1,0,0,0,0,0,0,3,0,0
12012,Female,Black,2006,77,Other,0,2,0,0,0,0,1,0,13,0,0
12013,Male,Black,2006,77,Other,4,81,5,4,0,0,46,0,260,0,18
12014,Unknown,Black,2006,77,Other,0,1,0,0,0,0,1,0,2,0,0
12015,Female,Hispanic,2006,77,Other,0,0,0,0,0,0,1,0,1,0,0
12016,Male,Hispanic,2006,77,Other,0,3,0,0,0,0,1,0,19,0,2
12017,Female,Other,2006,77,Other,0,0,0,0,0,0,0,0,1,0,0
12018,Male,Other,2006,77,Other,0,3,0,1,0,0,3,0,8,0,1
12019,Unknown,Other,2006,77,Other,0,2,0,0,0,0,1,0,9,0,0
12020,Female,White,2006,77,Other,0,0,0,0,0,0,0,0,1,0,0
12021,Male,White,2006,77,Other,0,2,0,0,0,0,2,0,11,0,1
12022,Unknown,White,2006,77,Other,0,0,0,0,0,0,0,0,1,0,0
19312,Female,Black,2006,77,Substance,4,29,5,2,0,0,11,0,113,0,11
19313,Male,Black,2006,77,Substance,31,836,76,29,1,1,213,0,1729,0,243
19314,Unknown,Black,2006,77,Substance,0,2,0,0,0,0,0,0,3,0,1
19315,Female,Hispanic,2006,77,Substance,0,7,2,0,0,0,1,0,15,0,0
19316,Male,Hispanic,2006,77,Substance,2,71,6,1,0,0,18,0,142,0,18
19317,Female,Other,2006,77,Substance,0,1,0,0,0,0,0,0,2,0,0
19318,Male,Other,2006,77,Substance,0,16,2,0,0,0,4,0,27,0,5
19319,Unknown,Other,2006,77,Substance,3,18,2,0,0,0,3,0,51,0,10
19320,Female,White,2006,77,Substance,0,2,0,0,0,0,0,0,4,0,2
19321,Male,White,2006,77,Substance,0,20,0,0,0,0,6,0,42,0,9
28026,Female,Black,2006,77,Theft,1,32,3,2,0,0,18,0,109,0,6
28027,Male,Black,2006,77,Theft,30,1343,111,45,0,1,510,0,2361,0,243
28028,Unknown,Black,2006,77,Theft,0,2,0,0,0,0,1,0,14,0,1
28029,Female,Hispanic,2006,77,Theft,0,2,0,0,0,0,0,0,10,0,0
28030,Male,Hispanic,2006,77,Theft,2,102,9,3,0,0,51,0,201,0,21
28031,Unknown,Hispanic,2006,77,Theft,0,1,0,0,0,0,0,0,3,0,0
28032,Female,Other,2006,77,Theft,0,4,0,0,0,0,2,0,5,0,0
28033,Male,Other,2006,77,Theft,0,19,3,0,0,0,4,0,43,0,5
28034,Unknown,Other,2006,77,Theft,1,27,0,0,0,0,5,0,56,0,6
28035,Female,White,2006,77,Theft,0,1,0,0,0,0,1,0,5,0,0
28036,Male,White,2006,77,Theft,1,28,1,2,0,0,9,0,50,0,9
36312,Female,Black,2006,77,Tresspass,0,11,1,0,0,0,2,0,105,0,13
36313,Male,Black,2006,77,Tresspass,10,163,20,4,0,0,46,0,734,0,42
36314,Unknown,Black,2006,77,Tresspass,0,0,0,0,0,0,0,0,1,0,0
36315,Female,Hispanic,2006,77,Tresspass,0,1,0,0,0,0,0,0,9,0,0
36316,Male,Hispanic,2006,77,Tresspass,0,25,1,0,0,0,7,0,84,0,8
36317,Unknown,Hispanic,2006,77,Tresspass,0,0,0,0,0,0,0,0,1,0,0
36318,Female,Other,2006,77,Tresspass,0,0,0,0,0,0,0,0,4,0,1
36319,Male,Other,2006,77,Tresspass,0,1,0,0,0,0,0,0,9,0,0
36320,Unknown,Other,2006,77,Tresspass,0,5,1,0,0,0,1,0,16,0,0
36321,Male,White,2006,77,Tresspass,0,0,0,0,0,0,0,0,6,0,0
44024,Female,Black,2006,77,Weapon,0,28,4,1,0,0,6,0,44,0,9
44025,Male,Black,2006,77,Weapon,21,1638,203,40,0,13,635,0,1831,0,171
44026,Unknown,Black,2006,77,Weapon,0,5,0,1,0,0,3,0,5,0,0
44027,Male,Hispanic,2006,77,Weapon,3,87,17,5,0,3,37,0,102,0,12
44028,Unknown,Hispanic,2006,77,Weapon,0,2,2,0,0,0,1,0,2,0,1
44029,Male,Other,2006,77,Weapon,0,22,2,0,0,0,12,0,27,0,2
44030,Unknown,Other,2006,77,Weapon,1,31,3,1,0,0,15,0,36,0,2
44031,Male,White,2006,77,Weapon,0,14,1,0,0,0,4,0,15,0,4
4745,Female,Black,2006,78,Assault,0,2,0,0,0,0,0,0,5,0,0
4746,Male,Black,2006,78,Assault,6,34,6,5,0,0,17,0,79,0,2
4747,Female,Hispanic,2006,78,Assault,0,0,0,0,0,0,0,0,2,0,0
4748,Male,Hispanic,2006,78,Assault,4,14,2,5,0,0,10,0,44,0,1
4749,Male,Other,2006,78,Assault,0,1,0,0,0,0,0,0,4,0,0
4750,Unknown,Other,2006,78,Assault,0,2,0,0,0,0,0,0,9,0,0
4751,Female,White,2006,78,Assault,0,0,0,0,0,0,0,0,2,0,0
4752,Male,White,2006,78,Assault,2,2,0,0,0,0,4,0,10,0,2
12103,Female,Black,2006,78,Other,0,0,0,0,0,0,1,0,9,0,1
12104,Male,Black,2006,78,Other,5,19,2,3,0,0,13,0,75,0,2
12105,Unknown,Black,2006,78,Other,0,1,0,0,0,0,0,0,3,0,0
12106,Female,Hispanic,2006,78,Other,1,3,0,1,0,0,1,0,10,0,0
12107,Male,Hispanic,2006,78,Other,0,19,1,1,0,0,4,0,52,0,0
12108,Male,Other,2006,78,Other,0,3,0,0,0,0,2,0,13,0,0
12109,Unknown,Other,2006,78,Other,0,2,0,0,0,0,2,0,9,0,0
12110,Female,White,2006,78,Other,0,0,0,0,0,0,0,0,4,0,0
12111,Male,White,2006,78,Other,1,9,2,0,0,0,5,0,34,0,0
19411,Female,Black,2006,78,Substance,1,0,0,1,0,0,1,0,5,0,0
19412,Male,Black,2006,78,Substance,30,52,30,18,0,0,27,0,97,0,4
19413,Unknown,Black,2006,78,Substance,0,1,0,0,0,0,0,0,2,0,0
19414,Female,Hispanic,2006,78,Substance,1,2,1,1,0,0,2,0,8,0,1
19415,Male,Hispanic,2006,78,Substance,9,31,9,8,0,0,11,0,60,0,1
19416,Unknown,Hispanic,2006,78,Substance,0,0,0,0,0,0,1,0,2,0,0
19417,Female,Other,2006,78,Substance,0,0,0,0,0,0,0,0,1,0,0
19418,Male,Other,2006,78,Substance,2,4,2,1,0,0,2,0,13,0,1
19419,Unknown,Other,2006,78,Substance,0,3,0,0,0,0,1,0,7,0,0
19420,Female,White,2006,78,Substance,0,2,0,0,0,0,2,0,5,0,0
19421,Male,White,2006,78,Substance,2,17,4,2,0,0,10,0,34,0,1
19422,Unknown,White,2006,78,Substance,0,1,0,0,0,0,0,0,1,0,0
28148,Female,Black,2006,78,Theft,1,3,0,1,0,0,1,0,31,0,1
28149,Male,Black,2006,78,Theft,14,251,50,11,0,2,90,0,749,0,23
28150,Unknown,Black,2006,78,Theft,0,6,0,0,0,0,2,0,28,0,1
28151,Female,Hispanic,2006,78,Theft,0,4,1,0,0,0,3,0,18,0,0
28152,Male,Hispanic,2006,78,Theft,11,136,21,3,0,2,38,0,393,0,6
28153,Unknown,Hispanic,2006,78,Theft,0,2,0,0,0,0,0,0,8,0,0
28154,Female,Other,2006,78,Theft,1,0,0,0,0,0,0,0,10,0,0
28155,Male,Other,2006,78,Theft,2,18,2,0,0,0,7,0,54,0,1
28156,Unknown,Other,2006,78,Theft,6,18,5,3,0,3,6,0,81,0,1
28157,Female,White,2006,78,Theft,0,4,2,1,0,0,2,0,36,0,0
28158,Male,White,2006,78,Theft,3,51,9,1,0,4,8,0,194,0,1
28159,Unknown,White,2006,78,Theft,0,0,0,0,0,0,0,0,3,0,0
36412,Female,Black,2006,78,Tresspass,0,0,0,0,0,0,1,0,18,0,2
36413,Male,Black,2006,78,Tresspass,7,33,5,3,0,0,15,0,109,0,7
36414,Female,Hispanic,2006,78,Tresspass,0,0,0,0,0,0,1,0,18,0,4
36415,Male,Hispanic,2006,78,Tresspass,1,10,1,0,0,0,4,0,53,0,5
36416,Unknown,Hispanic,2006,78,Tresspass,0,0,0,0,0,0,0,0,1,0,0
36417,Female,Other,2006,78,Tresspass,0,0,0,0,0,0,0,0,1,0,0
36418,Male,Other,2006,78,Tresspass,0,0,0,0,0,0,0,0,4,0,0
36419,Unknown,Other,2006,78,Tresspass,0,0,0,0,0,0,0,0,4,0,1
36420,Female,White,2006,78,Tresspass,0,0,0,0,0,0,0,0,7,0,2
36421,Male,White,2006,78,Tresspass,0,2,0,0,0,0,0,0,20,0,0
44136,Female,Black,2006,78,Weapon,0,4,0,1,0,2,2,0,5,0,0
44137,Male,Black,2006,78,Weapon,6,151,21,7,0,9,52,0,172,0,14
44138,Female,Hispanic,2006,78,Weapon,0,1,1,1,0,0,1,0,2,0,1
44139,Male,Hispanic,2006,78,Weapon,4,62,11,1,0,1,13,0,76,0,7
44140,Unknown,Hispanic,2006,78,Weapon,0,1,0,0,0,0,1,0,1,0,0
44141,Female,Other,2006,78,Weapon,0,0,0,0,0,0,0,0,1,0,0
44142,Male,Other,2006,78,Weapon,0,2,0,0,0,0,1,0,4,0,0
44143,Unknown,Other,2006,78,Weapon,1,13,4,0,0,0,3,0,18,0,1
44144,Female,White,2006,78,Weapon,0,0,0,0,0,0,0,0,1,0,0
44145,Male,White,2006,78,Weapon,2,28,6,2,0,2,11,0,34,0,2
44146,Unknown,White,2006,78,Weapon,0,2,0,0,0,1,0,0,2,0,0
4850,Female,Black,2006,79,Assault,1,6,1,0,0,0,1,0,29,0,1
4851,Male,Black,2006,79,Assault,11,73,14,11,0,1,24,0,145,0,7
4852,Unknown,Black,2006,79,Assault,0,2,1,0,0,1,2,0,4,0,0
4853,Female,Hispanic,2006,79,Assault,0,0,0,0,0,0,0,0,3,0,0
4854,Male,Hispanic,2006,79,Assault,1,9,1,0,0,0,3,0,24,0,0
4855,Unknown,Hispanic,2006,79,Assault,0,0,0,0,0,0,0,0,1,0,0
4856,Female,Other,2006,79,Assault,0,0,0,0,0,0,0,0,1,0,0
4857,Male,Other,2006,79,Assault,0,6,0,1,0,0,2,0,16,0,0
4858,Unknown,Other,2006,79,Assault,1,3,2,0,0,0,1,0,13,0,0
4859,Female,White,2006,79,Assault,0,1,0,0,0,0,0,0,1,0,0
4860,Male,White,2006,79,Assault,0,3,0,0,0,0,0,0,3,0,0
12218,Female,Black,2006,79,Other,1,3,1,0,0,0,3,0,86,0,3
12219,Male,Black,2006,79,Other,8,60,9,5,0,3,23,0,359,0,11
12220,Unknown,Black,2006,79,Other,0,1,1,0,0,0,1,0,9,0,1
12221,Female,Hispanic,2006,79,Other,0,0,0,0,0,0,0,0,7,0,0
12222,Male,Hispanic,2006,79,Other,0,9,0,2,0,0,6,0,56,0,4
12223,Unknown,Hispanic,2006,79,Other,0,1,0,0,0,0,0,0,1,0,0
12224,Female,Other,2006,79,Other,0,0,0,0,0,0,0,0,6,0,0
12225,Male,Other,2006,79,Other,1,3,2,0,0,0,1,0,12,0,0
12226,Unknown,Other,2006,79,Other,0,4,0,0,0,0,0,0,26,0,1
12227,Female,White,2006,79,Other,0,0,0,0,0,0,1,0,5,0,0
12228,Male,White,2006,79,Other,0,6,1,0,0,0,5,0,20,0,1
12229,Unknown,White,2006,79,Other,0,0,0,0,0,0,0,0,1,0,1
19513,Female,Black,2006,79,Substance,0,16,1,0,0,2,13,0,539,0,15
19514,Male,Black,2006,79,Substance,17,340,25,11,0,4,110,0,3449,0,118
19515,Unknown,Black,2006,79,Substance,0,8,2,0,0,0,0,0,99,0,3
19516,Female,Hispanic,2006,79,Substance,0,2,0,0,0,0,0,0,70,0,0
19517,Male,Hispanic,2006,79,Substance,4,59,3,2,0,0,12,0,499,0,21
19518,Unknown,Hispanic,2006,79,Substance,0,1,0,0,0,0,0,0,13,0,0
19519,Female,Other,2006,79,Substance,0,1,0,0,0,0,0,0,27,0,0
19520,Male,Other,2006,79,Substance,0,25,0,0,0,0,9,0,248,0,6
19521,Unknown,Other,2006,79,Substance,1,46,4,1,0,0,15,0,358,0,6
19522,Female,White,2006,79,Substance,0,1,0,0,0,0,1,0,39,0,0
19523,Male,White,2006,79,Substance,1,9,1,1,0,0,1,0,142,0,2
19524,Unknown,White,2006,79,Substance,0,0,0,0,0,0,0,0,4,0,0
28293,Female,Black,2006,79,Theft,9,16,3,7,0,0,7,0,247,0,13
28294,Male,Black,2006,79,Theft,57,735,74,38,0,10,277,0,3258,0,178
28295,Unknown,Black,2006,79,Theft,0,9,1,0,0,0,3,0,67,0,5
28296,Female,Hispanic,2006,79,Theft,1,4,1,1,0,0,2,0,49,0,3
28297,Male,Hispanic,2006,79,Theft,11,125,13,11,0,3,60,0,585,0,40
28298,Unknown,Hispanic,2006,79,Theft,0,2,0,0,0,0,0,0,24,0,1
28299,Female,Other,2006,79,Theft,0,4,0,0,0,0,1,0,21,0,0
28300,Male,Other,2006,79,Theft,2,43,1,2,0,0,13,0,227,0,10
28301,Unknown,Other,2006,79,Theft,0,38,2,1,0,0,15,0,269,0,5
28302,Female,White,2006,79,Theft,0,1,0,0,0,0,0,0,13,0,0
28303,Male,White,2006,79,Theft,0,18,0,1,0,0,8,0,127,0,9
28304,Unknown,White,2006,79,Theft,0,0,0,0,0,0,0,0,3,0,0
36511,Female,Black,2006,79,Tresspass,13,14,10,2,0,0,2,0,235,0,15
36512,Male,Black,2006,79,Tresspass,60,177,52,9,0,0,24,0,1329,0,61
36513,Unknown,Black,2006,79,Tresspass,0,1,0,0,0,0,0,0,10,0,1
36514,Female,Hispanic,2006,79,Tresspass,3,1,2,0,0,0,0,0,74,0,6
36515,Male,Hispanic,2006,79,Tresspass,14,26,12,3,0,0,7,0,286,0,14
36516,Unknown,Hispanic,2006,79,Tresspass,1,0,1,0,0,0,0,0,4,0,0
36517,Female,Other,2006,79,Tresspass,0,0,0,0,0,0,0,0,5,0,0
36518,Male,Other,2006,79,Tresspass,1,4,1,0,0,0,2,0,33,0,3
36519,Unknown,Other,2006,79,Tresspass,1,5,0,0,0,0,1,0,48,0,4
36520,Female,White,2006,79,Tresspass,0,0,0,0,0,0,0,0,8,0,1
36521,Male,White,2006,79,Tresspass,0,1,1,0,0,0,0,0,26,0,1
44251,Female,Black,2006,79,Weapon,0,37,2,1,0,1,12,0,71,0,6
44252,Male,Black,2006,79,Weapon,37,1436,98,39,2,29,430,0,1874,0,201
44253,Unknown,Black,2006,79,Weapon,0,16,3,0,0,0,2,0,24,0,1
44254,Female,Hispanic,2006,79,Weapon,0,5,0,0,0,0,1,0,15,0,1
44255,Male,Hispanic,2006,79,Weapon,7,221,14,5,0,5,45,0,287,0,47
44256,Unknown,Hispanic,2006,79,Weapon,0,5,1,0,0,0,0,0,6,0,0
44257,Female,Other,2006,79,Weapon,0,4,0,0,0,0,1,0,5,0,1
44258,Male,Other,2006,79,Weapon,2,55,5,0,0,0,13,0,77,0,7
44259,Unknown,Other,2006,79,Weapon,0,97,4,0,0,1,26,0,149,0,5
44260,Female,White,2006,79,Weapon,0,3,1,0,0,0,0,0,6,0,0
44261,Male,White,2006,79,Weapon,1,41,5,0,0,1,3,0,58,0,10
4957,Female,Black,2006,81,Assault,1,6,1,2,0,0,2,0,16,0,2
4958,Male,Black,2006,81,Assault,4,56,6,11,0,0,25,0,92,0,2
4959,Female,Hispanic,2006,81,Assault,1,2,1,0,0,0,0,0,3,0,0
4960,Male,Hispanic,2006,81,Assault,0,3,0,0,0,0,1,0,4,0,0
4961,Male,Other,2006,81,Assault,0,1,0,0,0,0,0,0,2,0,0
4962,Male,White,2006,81,Assault,0,2,0,0,0,0,2,0,2,0,0
12333,Female,Black,2006,81,Other,0,0,0,0,0,0,1,0,5,0,0
12334,Male,Black,2006,81,Other,4,31,5,7,0,0,11,0,94,0,6
12335,Female,Hispanic,2006,81,Other,0,1,0,0,0,0,0,0,2,0,0
12336,Male,Hispanic,2006,81,Other,0,4,0,0,0,0,2,0,11,0,0
12337,Male,Other,2006,81,Other,0,1,0,0,0,0,1,0,1,0,0
12338,Unknown,Other,2006,81,Other,0,1,0,0,0,0,0,0,3,0,0
12339,Male,White,2006,81,Other,0,0,0,0,0,0,1,0,3,0,0
19640,Female,Black,2006,81,Substance,0,5,0,0,0,0,3,0,30,0,2
19641,Male,Black,2006,81,Substance,8,168,13,6,0,1,41,0,516,0,35
19642,Unknown,Black,2006,81,Substance,0,1,0,0,0,0,0,0,3,0,0
19643,Female,Hispanic,2006,81,Substance,0,2,0,0,0,0,0,0,7,0,0
19644,Male,Hispanic,2006,81,Substance,1,8,0,0,0,0,2,0,30,0,2
19645,Unknown,Hispanic,2006,81,Substance,0,0,0,0,0,0,0,0,1,0,0
19646,Female,Other,2006,81,Substance,0,1,0,0,0,0,0,0,1,0,1
19647,Male,Other,2006,81,Substance,0,1,0,0,0,0,0,0,5,0,2
19648,Unknown,Other,2006,81,Substance,0,3,0,0,0,0,1,0,17,0,0
19649,Female,White,2006,81,Substance,0,0,0,0,0,0,0,0,2,0,0
19650,Male,White,2006,81,Substance,0,5,2,0,0,0,0,0,13,0,1
28436,Female,Black,2006,81,Theft,2,18,2,1,0,0,7,0,58,0,1
28437,Male,Black,2006,81,Theft,33,670,66,24,0,8,209,0,1616,0,68
28438,Unknown,Black,2006,81,Theft,0,2,1,0,0,0,1,0,5,0,0
28439,Female,Hispanic,2006,81,Theft,0,0,0,0,0,0,0,0,11,0,0
28440,Male,Hispanic,2006,81,Theft,0,60,5,1,0,0,26,0,155,0,11
28441,Male,Other,2006,81,Theft,0,2,0,0,0,0,1,0,12,0,0
28442,Unknown,Other,2006,81,Theft,0,4,0,0,0,0,1,0,9,0,1
28443,Female,White,2006,81,Theft,0,1,0,0,0,0,1,0,3,0,0
28444,Male,White,2006,81,Theft,0,7,1,0,0,0,1,0,22,0,0
36632,Female,Black,2006,81,Tresspass,3,1,2,0,0,0,1,0,36,0,0
36633,Male,Black,2006,81,Tresspass,8,62,11,5,0,0,27,0,347,0,30
36634,Female,Hispanic,2006,81,Tresspass,0,0,0,0,0,0,1,0,8,0,1
36635,Male,Hispanic,2006,81,Tresspass,0,6,0,1,0,0,1,0,39,0,3
36636,Male,Other,2006,81,Tresspass,0,0,0,0,0,0,0,0,5,0,1
36637,Unknown,Other,2006,81,Tresspass,1,3,1,0,0,0,0,0,8,0,1
36638,Male,White,2006,81,Tresspass,0,0,0,0,0,0,0,0,3,0,0
44392,Female,Black,2006,81,Weapon,1,26,3,0,0,0,7,0,39,0,2
44393,Male,Black,2006,81,Weapon,35,1700,100,44,0,30,462,0,1995,0,154
44394,Unknown,Black,2006,81,Weapon,0,8,0,0,0,0,1,0,9,0,0
44395,Female,Hispanic,2006,81,Weapon,0,2,0,0,0,0,1,0,2,0,0
44396,Male,Hispanic,2006,81,Weapon,3,125,6,2,0,2,44,0,147,0,16
44397,Male,Other,2006,81,Weapon,0,16,0,0,0,0,2,0,20,0,1
44398,Unknown,Other,2006,81,Weapon,1,20,2,0,0,0,4,0,24,0,1
44399,Male,White,2006,81,Weapon,0,20,0,0,0,0,2,0,32,0,4
5050,Female,Black,2006,83,Assault,0,3,1,1,0,0,1,0,4,0,0
5051,Male,Black,2006,83,Assault,2,38,4,6,0,0,17,0,50,0,2
5052,Female,Hispanic,2006,83,Assault,0,0,0,0,0,0,0,0,6,0,0
5053,Male,Hispanic,2006,83,Assault,3,53,7,5,0,1,26,0,73,0,11
5054,Male,Other,2006,83,Assault,0,2,0,0,0,0,1,0,6,0,1
5055,Unknown,Other,2006,83,Assault,0,2,0,0,0,0,0,0,3,0,0
5056,Male,White,2006,83,Assault,0,1,0,0,0,0,0,0,2,0,0
12420,Female,Black,2006,83,Other,0,3,0,0,0,0,0,0,13,0,0
12421,Male,Black,2006,83,Other,0,29,0,5,0,0,15,0,60,0,4
12422,Female,Hispanic,2006,83,Other,0,7,1,0,0,0,4,0,19,0,0
12423,Male,Hispanic,2006,83,Other,3,38,5,3,0,1,27,0,110,0,2
12424,Unknown,Hispanic,2006,83,Other,0,0,0,0,0,0,0,0,1,0,0
12425,Female,Other,2006,83,Other,0,0,0,0,0,0,0,0,2,0,0
12426,Male,Other,2006,83,Other,0,3,0,0,0,0,0,0,6,0,0
12427,Unknown,Other,2006,83,Other,0,5,1,0,0,0,0,0,9,0,0
12428,Female,White,2006,83,Other,0,0,0,0,0,0,0,0,5,0,0
12429,Male,White,2006,83,Other,1,8,1,2,0,0,4,0,12,0,2
19740,Female,Black,2006,83,Substance,0,9,1,3,0,0,4,0,17,0,0
19741,Male,Black,2006,83,Substance,0,54,4,0,0,0,16,0,102,0,4
19742,Female,Hispanic,2006,83,Substance,0,5,0,1,0,0,3,0,24,0,0
