Game,GameDate,PlayerID,GroupID,Level,Order,Track,Car,Body,Engine,Tire,Finished,FinishTime,TopSpeedReached,TimeTo30,TimeTo60,TimeTo100,CheckPoint1,CheckPoint2,CheckPoint3,TimeOnTrack,TimeOffTrack,Mass,Drag,Traction,FullTorqueOverAllWheel,TopSpeed,TireRadius,Variable1,Variable2,Variable3
278,8/29/2019 11:03,m,sample2,Tutorial,1,Tutorial,14,Nightingale,Nightingale,Nightingale,1,25.03,56.12,5.43,-1,-1,15.29,16.74,-1,23.42,1.6,1900,0.07,1,2500,150,0.43,NA,NA,NA
279,8/29/2019 11:03,m,sample2,Tutorial,2,Tutorial,1,Bayes,Bayes,Bayes,1,23.85,56.68,4.24,-1,-1,14.14,15.49,-1,22.1,1.74,1500,0.11,1,2500,150,0.4,NA,NA,NA
161,8/27/2019 12:09,p,sample2,Tutorial,1,Tutorial,14,Nightingale,Nightingale,Nightingale,1,27.11,53.87,5.53,-1,-1,16.06,17.51,16.06,25.19,1.91,1900,0.07,1,2500,150,0.43,NA,NA,NA
162,8/27/2019 12:09,p,sample2,Tutorial,2,Tutorial,1,Bayes,Bayes,Bayes,1,23.63,56.89,4.23,-1,-1,14.06,15.63,-1,22,1.63,1500,0.11,1,2500,150,0.4,NA,NA,NA
303,8/29/2019 11:06,q,sample2,Tutorial,1,Tutorial,14,Nightingale,Nightingale,Nightingale,1,33.93,48.84,5.93,-1,-1,17.05,19.17,-1,30.56,3.36,1900,0.07,1,2500,150,0.43,NA,NA,NA
304,8/29/2019 11:06,q,sample2,Tutorial,2,Tutorial,1,Bayes,Bayes,Bayes,1,45.99,44.19,10.18,-1,-1,26.59,31.16,26.16,40.3,5.69,1500,0.11,1,2500,150,0.4,NA,NA,NA
325,8/29/2019 11:10,r,sample2,Tutorial,1,Tutorial,14,Nightingale,Nightingale,Nightingale,1,25.83,54.78,5.73,-1,-1,15.43,17.04,-1,23.98,1.84,1900,0.07,1,2500,150,0.43,NA,NA,NA
326,8/29/2019 11:12,r,sample2,Tutorial,2,Tutorial,1,Bayes,Bayes,Bayes,1,24.19,56.4,4.24,-1,-1,14.18,15.8,-1,22.29,1.9,1500,0.11,1,2500,150,0.4,NA,NA,NA
195,8/27/2019 12:11,s,sample2,Tutorial,1,Tutorial,14,Nightingale,Nightingale,Nightingale,1,25.25,55.86,5.72,-1,-1,15.47,16.7,-1,23.58,1.67,1900,0.07,1,2500,150,0.43,NA,NA,NA
196,8/27/2019 12:11,s,sample2,Tutorial,2,Tutorial,1,Bayes,Bayes,Bayes,1,23.45,56.82,4.23,-1,-1,13.98,15.55,-1,21.9,1.55,1500,0.11,1,2500,150,0.4,NA,NA,NA
327,8/29/2019 11:10,t,sample2,Tutorial,1,Tutorial,14,Nightingale,Nightingale,Nightingale,1,33.59,54.36,5.47,-1,-1,19.61,21.63,19.61,30.63,2.95,1900,0.07,1,2500,150,0.43,NA,NA,NA
328,8/29/2019 11:10,t,sample2,Tutorial,2,Tutorial,1,Bayes,Bayes,Bayes,1,29.76,55.36,4.25,-1,-1,15.21,17.59,-1,26.12,3.63,1500,0.11,1,2500,150,0.4,NA,NA,NA
249,8/27/2019 12:14,u,sample2,Tutorial,1,Tutorial,14,Nightingale,Nightingale,Nightingale,1,26.66,54.68,5.81,-1,-1,16.16,17.74,-1,24.73,1.92,1900,0.07,1,2500,150,0.43,NA,NA,NA
251,8/27/2019 12:14,u,sample2,Tutorial,2,Tutorial,1,Bayes,Bayes,Bayes,1,24.53,55.1,4.24,-1,-1,14.47,16.17,-1,22.66,1.87,1500,0.11,1,2500,150,0.4,NA,NA,NA
