Game,GameDate,PlayerID,GroupID,Level,Order,Track,Car,Body,Engine,Tire,Finished,FinishTime,TopSpeedReached,TimeTo30,TimeTo60,TimeTo100,CheckPoint1,CheckPoint2,CheckPoint3,TimeOnTrack,TimeOffTrack,Mass,Drag,Traction,FullTorqueOverAllWheel,TopSpeed,TireRadius,Variable1,Variable2,Variable3
426,8/27/2019 12:09,heyya2020,Sample2,Paired,1,OvalTrack,27,Gauss,Gauss,Gauss,1,24.18,79.49,4.84,12.51,-1,10.38,16.01,21.91,23.41,0.76,1700,0.05,1,2150,150,0.37,NA,NA,NA
427,8/27/2019 12:09,unkown2020,Sample2,Paired,3,OvalTrack,1,Bayes,Bayes,Bayes,1,24.19,66.67,4.26,13.59,-1,14.46,15.55,21.66,23.64,0.54,1500,0.11,1,2500,150,0.4,NA,NA,NA
428,8/27/2019 12:20,unkown2020,Sample2,Paired,6,OvalTrack,1,Bayes,Bayes,Bayes,1,24.21,70.34,4.24,13.54,-1,14.46,15.55,21.66,24.21,0,1500,0.11,1,2500,150,0.4,NA,NA,NA
429,8/27/2019 12:10,demo,Sample2,Paired,33,OvalTrack,27,Gauss,Gauss,Gauss,1,24.25,79.91,4.63,11.39,-1,9.95,15.39,21.85,23.39,0.86,1700,0.05,1,2150,150,0.37,NA,NA,NA
430,8/27/2019 12:10,sof,Sample2,Paired,2,OvalTrack,14,Nightingale,Nightingale,Nightingale,1,24.31,73.64,5.41,14.57,-1,10.77,16.61,22.32,24.31,0,1900,0.07,1,2500,150,0.43,NA,NA,NA
431,8/27/2019 12:10,cucaracha,Sample2,Paired,12,OvalTrack,14,Nightingale,Nightingale,Nightingale,1,24.33,76.36,5.44,14.66,-1,10.79,16.66,22.44,24.33,0,1900,0.07,1,2500,150,0.43,NA,NA,NA
432,8/27/2019 12:10,nabokov,Sample2,Paired,1,OvalTrack,14,Nightingale,Nightingale,Nightingale,1,24.41,76.53,5.41,14.5,-1,10.84,16.77,22.53,24.41,0,1900,0.07,1,2500,150,0.43,NA,NA,NA
433,8/27/2019 12:10,littedragon,Sample2,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,24.41,70.09,4.93,14.32,-1,10.41,16.37,22.39,24.41,0,1500,0.11,1,2500,150,0.4,NA,NA,NA
434,8/27/2019 12:10,m,Sample2,Paired,18,OvalTrack,14,Nightingale,Nightingale,Nightingale,1,24.46,70.35,5.46,14.53,-1,10.39,16.14,22.08,24.03,0.43,1900,0.07,1,2500,150,0.43,NA,NA,NA
435,8/27/2019 12:10,a00828816,Sample2,Paired,18,OvalTrack,14,Nightingale,Nightingale,Nightingale,1,24.5,73.92,5.39,14.51,-1,10.8,16.83,22.57,24.5,0,1900,0.07,1,2500,150,0.43,NA,NA,NA
436,8/27/2019 12:10,demo,Sample2,Paired,29,OvalTrack,14,Nightingale,Nightingale,Nightingale,1,24.54,72.6,5.44,14.56,-1,10.73,16.62,22.31,24.54,0,1900,0.07,1,2500,150,0.43,NA,NA,NA
437,8/27/2019 12:10,champion,Sample2,Paired,32,OvalTrack,1,Bayes,Bayes,Bayes,1,24.55,66.19,4.26,13.74,-1,9.56,15.32,22.05,23.99,0.56,1500,0.11,1,2500,150,0.4,NA,NA,NA
438,8/27/2019 12:10,a00828816,Sample2,Paired,17,OvalTrack,14,Nightingale,Nightingale,Nightingale,1,24.58,76.11,5.4,14.63,-1,10.7,16.78,22.71,24.58,0,1900,0.07,1,2500,150,0.43,NA,NA,NA
439,8/27/2019 12:10,a00828816,Sample2,Paired,19,OvalTrack,14,Nightingale,Nightingale,Nightingale,1,24.62,76.67,5.38,14.55,-1,10.85,16.85,22.79,24.62,0,1900,0.07,1,2500,150,0.43,NA,NA,NA
440,8/27/2019 12:10,pak0,Sample2,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,24.66,69.9,5.69,14.99,-1,10.99,16.82,22.64,24.66,0,1500,0.11,1,2500,150,0.4,NA,NA,NA
441,8/27/2019 12:10,a00828816,Sample2,Paired,8,OvalTrack,1,Bayes,Bayes,Bayes,1,24.9,65.61,4.25,13.59,-1,9.84,15.71,22.61,24.45,0.44,1500,0.11,1,2500,150,0.4,NA,NA,NA
442,8/27/2019 12:10,573156,Sample2,Paired,4,OvalTrack,27,Gauss,Gauss,Gauss,1,24.94,77.4,4.66,11.45,-1,9.7,14.95,22.13,23.23,1.71,1700,0.05,1,2150,150,0.37,NA,NA,NA
443,8/27/2019 12:11,lakers,Sample2,Paired,2,OvalTrack,14,Nightingale,Nightingale,Nightingale,1,24.95,67.83,5.4,15.5,-1,10.41,16.33,22.8,24.65,0.29,1900,0.07,1,2500,150,0.43,NA,NA,NA
444,8/27/2019 12:11,davidrapido,Sample2,Paired,1,OvalTrack,14,Nightingale,Nightingale,Nightingale,1,25.06,73.91,6.3,15.38,-1,11.4,17.18,22.71,24.38,0.67,1900,0.07,1,2500,150,0.43,NA,NA,NA
445,8/27/2019 12:11,573156,Sample2,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,25.2,66.35,4.36,13.66,-1,9.55,15.28,22.23,24.06,1.13,1500,0.11,1,2500,150,0.4,NA,NA,NA
446,8/27/2019 12:11,doe11,Sample2,Paired,8,OvalTrack,14,Nightingale,Nightingale,Nightingale,1,26.22,70.42,5.42,14.62,-1,10.72,16.86,23.57,25.41,0.8,1900,0.07,1,2500,150,0.43,NA,NA,NA
447,8/27/2019 12:11,a00828816,Sample2,Paired,6,OvalTrack,1,Bayes,Bayes,Bayes,1,27.37,64.81,4.27,13.76,-1,9.49,15.33,24.57,25.27,2.09,1500,0.11,1,2500,150,0.4,NA,NA,NA
448,8/27/2019 12:11,me,Sample2,Paired,2,OvalTrack,27,Gauss,Gauss,Gauss,1,46.17,58.05,32.87,-1,-1,17.21,34.27,43.47,45.29,0.88,1700,0.05,1,2150,150,0.37,NA,NA,NA
449,8/27/2019 12:11,jebet2020,Sample2,Paired,2,OvalTrack,27,Gauss,Gauss,Gauss,1,52.34,41.91,30.1,-1,-1,16.83,32.2,47.52,52.34,0,1700,0.05,1,2150,150,0.37,NA,NA,NA
450,8/27/2019 12:21,jebet2020,Sample2,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,70.09,41.45,35.15,-1,-1,28.49,41.61,65.79,57.56,12.52,1500,0.11,1,2500,150,0.4,NA,NA,NA
451,8/27/2019 12:11,me,Sample2,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,84.68,50.83,7.08,-1,-1,16.19,26.16,35.92,61.09,23.59,1500,0.11,1,2500,150,0.4,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
